seller_type,area_m2,room_layout,city,district,neighborhood,listing_date_raw,price_try,rooms,living_rooms,total_rooms,listing_date,listing_month,listing_day,price_per_m2,is_model_candidate_domain,is_model_candidate_pct
Sahibinden,160.0,3.5+1,Istanbul,Şişli,Esentepe,25 Mayıs  2025,8750000,3.5,1.0,4.5,2025-05-25,5,25,54687.5,True,True
Sahibinden,85.0,2+1,Istanbul,Kartal,Topselvi,25 Mayıs  2025,4899000,2.0,1.0,3.0,2025-05-25,5,25,57635.294117647056,True,True
Sahibinden,110.0,3+1,Istanbul,Tuzla,Aydınlı,24 Mayıs  2025,5900000,3.0,1.0,4.0,2025-05-24,5,24,53636.36363636364,True,True
Sahibinden,200.0,6+1,Istanbul,Sultanbeyli,Necipfazıl,24 Mayıs  2025,6999999,6.0,1.0,7.0,2025-05-24,5,24,34999.995,True,True
Sahibinden,120.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1625000,2.0,1.0,3.0,2025-05-24,5,24,13541.666666666666,True,True
Sahibinden,95.0,2+1,Istanbul,Kağıthane,Bilinmiyor,24 Mayıs  2025,5850000,2.0,1.0,3.0,2025-05-24,5,24,61578.94736842105,True,True
Sahibinden,175.0,3.5+1,Istanbul,Başakşehir,Bahçeşehir,24 Mayıs  2025,10600000,3.5,1.0,4.5,2025-05-24,5,24,60571.42857142857,True,True
Sahibinden,210.0,5+1,Istanbul,Fatih,Kocamustafapaşa,24 Mayıs  2025,6750000,5.0,1.0,6.0,2025-05-24,5,24,32142.85714285714,True,True
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Haramidere,24 Mayıs  2025,1175000,2.0,1.0,3.0,2025-05-24,5,24,11750.0,True,True
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1059000,2.0,1.0,3.0,2025-05-24,5,24,10590.0,True,True
Sahibinden,125.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2239999,2.0,1.0,3.0,2025-05-24,5,24,17919.992,True,True
Sahibinden,110.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2199999,2.0,1.0,3.0,2025-05-24,5,24,19999.99090909091,True,True
Sahibinden,120.0,2+1,Istanbul,Esenler,Bilinmiyor,24 Mayıs  2025,2799999,2.0,1.0,3.0,2025-05-24,5,24,23333.325,True,True
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,919000,2.0,1.0,3.0,2025-05-24,5,24,9190.0,True,True
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1799999,2.0,1.0,3.0,2025-05-24,5,24,15652.165217391304,True,True
Sahibinden,105.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1340000,2.0,1.0,3.0,2025-05-24,5,24,12761.904761904761,True,True
Sahibinden,125.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2650000,2.0,1.0,3.0,2025-05-24,5,24,21200.0,True,True
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1349000,2.0,1.0,3.0,2025-05-24,5,24,11730.434782608696,True,True
Sahibinden,110.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1350000,2.0,1.0,3.0,2025-05-24,5,24,12272.727272727272,True,True
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1599999,2.0,1.0,3.0,2025-05-24,5,24,13913.034782608696,True,True
