satici_tip,Metrekare,Oda_Sayisi,il,Ilce,Mahalle,Tarih,fiyat
Sahibinden,160.0,3.5+1,Istanbul,Şişli,Esentepe,25 Mayıs  2025,8750000
Sahibinden,85.0,2+1,Istanbul,Kartal,Topselvi,25 Mayıs  2025,4899000
Sahibinden,110.0,3+1,Istanbul,Tuzla,Aydınlı,24 Mayıs  2025,5900000
Sahibinden,200.0,6+1,Istanbul,Sultanbeyli,Necipfazıl,24 Mayıs  2025,6999999
Sahibinden,120.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1625000
Sahibinden,95.0,2+1,Istanbul,Kağıthane,Bilinmiyor,24 Mayıs  2025,5850000
Sahibinden,175.0,3.5+1,Istanbul,Başakşehir,Bahçeşehir,24 Mayıs  2025,10600000
Sahibinden,210.0,5+1,Istanbul,Fatih,Kocamustafapaşa,24 Mayıs  2025,6750000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Haramidere,24 Mayıs  2025,1175000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1059000
Sahibinden,125.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2239999
Sahibinden,110.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2199999
Sahibinden,120.0,2+1,Istanbul,Esenler,Bilinmiyor,24 Mayıs  2025,2799999
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,919000
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1799999
Sahibinden,105.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1340000
Sahibinden,125.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2650000
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1349000
Sahibinden,110.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1350000
Sahibinden,115.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1599999
Sahibinden,120.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,2650000
Sahibinden,85.0,1+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1499999
Sahibinden,120.0,2+1,Istanbul,Esenyurt,Bilinmiyor,24 Mayıs  2025,1629999
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,23 Mayıs  2025,3490000
Sahibinden,70.0,2+1,Istanbul,Zeytinburnu,Çırpıcı,23 Mayıs  2025,3650000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,22 Mayıs  2025,4100000
Sahibinden,200.0,4+2,Istanbul,Beylikdüzü,Yakuplu,22 Mayıs  2025,5650000
Sahibinden,200.0,4+1,Istanbul,Başakşehir,Bahçeşehir,22 Mayıs  2025,11950000
Sahibinden,230.0,4+2,Istanbul,Kartal,Topselvi,21 Mayıs  2025,12500000
Sahibinden,189.0,3+1,Istanbul,Ataşehir,Bilinmiyor,21 Mayıs  2025,21750000
Sahibinden,90.0,2+1,Istanbul,Fatih,Kocamustafapaşa,21 Mayıs  2025,3350000
Sahibinden,110.0,3+1,Istanbul,Fatih,Fevzipaşa,21 Mayıs  2025,3500000
Sahibinden,129.0,3+1,Istanbul,Esenyurt,Bilinmiyor,20 Mayıs  2025,4000000
Sahibinden,210.0,5+2,Istanbul,Sultanbeyli,Necipfazıl,20 Mayıs  2025,5950000
Sahibinden,158.0,2+1,Istanbul,Esenyurt,Bilinmiyor,19 Mayıs  2025,4850000
Sahibinden,135.0,3+1,Istanbul,Üsküdar,Altunizade,19 Mayıs  2025,18800000
Sahibinden,125.0,3+1,Istanbul,Bahçelievler,Merkez,19 Mayıs  2025,5175000
Sahibinden,190.0,5+1,Istanbul,Gaziosmanpaşa,Bilinmiyor,18 Mayıs  2025,7450000
Sahibinden,245.0,4+1,Istanbul,Büyükçekmece,Merkez,18 Mayıs  2025,13250000
Sahibinden,100.0,2+1,Istanbul,Esenyurt,Bilinmiyor,18 Mayıs  2025,1990000
Sahibinden,110.0,3+1,Istanbul,Sultanbeyli,Necipfazıl,17 Mayıs  2025,5350000
Sahibinden,75.0,1+1,Istanbul,Esenyurt,Bilinmiyor,16 Mayıs  2025,1950000
Sahibinden,240.0,5+2,Istanbul,Çekmeköy,Bilinmiyor,15 Mayıs  2025,12500000
